   1 	 0.040
  11 	 0.037
  21 	 0.039
  31 	 0.041
  41 	 0.042
  51 	 0.042
  61 	 0.043
  71 	 0.044
  81 	 0.046
  91 	 0.046
 101 	 0.048
 111 	 0.048
 121 	 0.051
 131 	 0.050
 141 	 0.051
 151 	 0.052
 161 	 0.053
 171 	 0.054
 181 	 0.055
 191 	 0.056
 201 	 0.059
 211 	 0.061
 221 	 0.059
 231 	 0.060
 241 	 0.064
 251 	 0.063
 261 	 0.065
 271 	 0.066
 281 	 0.069
 291 	 0.067
 301 	 0.069
 311 	 0.070
 321 	 0.070
 331 	 0.072
 341 	 0.072
 351 	 0.074
 361 	 0.075
 371 	 0.077
 381 	 0.077
 391 	 0.078
 401 	 0.078
 411 	 0.080
 421 	 0.083
 431 	 0.084
 441 	 0.088
 451 	 0.101
 461 	 0.088
 471 	 0.091
 481 	 0.089
 491 	 0.091
 501 	 0.092
 511 	 0.099
 521 	 0.096
 531 	 0.096
 541 	 0.106
 551 	 0.105
 561 	 0.099
 571 	 0.101
 581 	 0.104
 591 	 0.102
 601 	 0.104
 611 	 0.104
 621 	 0.106
 631 	 0.107
 641 	 0.108
 651 	 0.111
 661 	 0.114
 671 	 0.110
 681 	 0.114
 691 	 0.116
 701 	 0.119
 711 	 0.115
 721 	 0.121
 731 	 0.119
 741 	 0.122
 751 	 0.119
 761 	 0.120
 771 	 0.123
 781 	 0.124
 791 	 0.125
 801 	 0.126
 811 	 0.144
 821 	 0.134
 831 	 0.134
 841 	 0.139
 851 	 0.136
 861 	 0.139
 871 	 0.139
 881 	 0.152
 891 	 0.143
 901 	 0.145
 911 	 0.146
 921 	 0.143
 931 	 0.145
 941 	 0.147
 951 	 0.142
 961 	 0.155
 971 	 0.146
 981 	 0.147
 991 	 0.149
