   1 	 0.012
1001 	 0.004
2001 	 0.002
3001 	 0.003
4001 	 0.003
5001 	 0.002
6001 	 0.002
7001 	 0.003
8001 	 0.003
9001 	 0.003
10001 	 0.002
11001 	 0.003
12001 	 0.003
13001 	 0.003
14001 	 0.003
15001 	 0.002
16001 	 0.002
17001 	 0.003
18001 	 0.003
19001 	 0.002
20001 	 0.003
21001 	 0.002
22001 	 0.003
23001 	 0.003
24001 	 0.003
25001 	 0.003
26001 	 0.003
27001 	 0.003
28001 	 0.002
29001 	 0.002
30001 	 0.002
31001 	 0.003
32001 	 0.003
33001 	 0.002
34001 	 0.003
35001 	 0.002
36001 	 0.003
37001 	 0.003
38001 	 0.002
39001 	 0.002
40001 	 0.003
41001 	 0.003
42001 	 0.003
43001 	 0.003
44001 	 0.003
45001 	 0.003
46001 	 0.002
47001 	 0.002
48001 	 0.002
49001 	 0.003
50001 	 0.003
51001 	 0.004
52001 	 0.003
53001 	 0.003
54001 	 0.002
55001 	 0.003
56001 	 0.003
57001 	 0.003
58001 	 0.002
59001 	 0.003
60001 	 0.003
61001 	 0.003
62001 	 0.003
63001 	 0.002
64001 	 0.002
65001 	 0.003
66001 	 0.003
67001 	 0.003
68001 	 0.003
69001 	 0.003
70001 	 0.002
71001 	 0.003
72001 	 0.003
73001 	 0.003
74001 	 0.003
75001 	 0.003
76001 	 0.003
77001 	 0.003
78001 	 0.003
79001 	 0.003
80001 	 0.003
81001 	 0.003
82001 	 0.003
83001 	 0.003
84001 	 0.003
85001 	 0.003
86001 	 0.003
87001 	 0.003
88001 	 0.003
89001 	 0.003
90001 	 0.003
91001 	 0.003
92001 	 0.002
93001 	 0.002
94001 	 0.003
95001 	 0.003
96001 	 0.003
97001 	 0.002
98001 	 0.003
99001 	 0.002
