   1 	 0.366
   2 	 0.355
   3 	 0.390
   4 	 0.457
   5 	 0.468
   6 	 0.504
   7 	 0.547
   8 	 0.713
   9 	 0.668
  10 	 0.676
  11 	 0.719
  12 	 0.775
  13 	 0.842
  14 	 0.844
  15 	 0.969
  16 	 0.994
  17 	 1.094
  18 	 1.141
  19 	 1.197
  20 	 1.205
  21 	 1.330
  22 	 1.356
  23 	 1.615
  24 	 1.518
  25 	 1.589
  26 	 1.623
  27 	 1.713
  28 	 1.874
  29 	 1.850
  30 	 1.928
  31 	 2.016
  32 	 2.051
  33 	 2.129
  34 	 2.568
  35 	 2.352
  36 	 2.429
  37 	 2.509
  38 	 2.658
  39 	 2.668
  40 	 2.754
  41 	 2.832
  42 	 2.960
  43 	 2.993
  44 	 3.382
  45 	 3.327
  46 	 3.360
  47 	 3.593
  48 	 3.550
  49 	 3.887
  50 	 3.792
  51 	 3.847
  52 	 3.938
  53 	 4.108
  54 	 4.143
  55 	 4.263
  56 	 4.398
  57 	 4.546
  58 	 4.600
  59 	 4.753
  60 	 4.902
  61 	 4.962
  62 	 5.075
  63 	 5.204
  64 	 5.360
  65 	 5.424
  66 	 5.595
  67 	 5.792
  68 	 5.822
  69 	 6.132
  70 	 6.086
  71 	 6.267
  72 	 6.414
  73 	 6.594
  74 	 6.752
  75 	 6.882
  76 	 7.008
  77 	 7.218
  78 	 7.369
  79 	 8.072
  80 	 7.867
  81 	 7.814
  82 	 7.968
  83 	 8.197
  84 	 8.659
  85 	 8.441
  86 	 8.695
  87 	 8.773
  88 	 8.802
  89 	 9.025
  90 	 9.214
  91 	 9.380
  92 	 9.645
  93 	 9.730
  94 	 9.946
  95 	 10.137
  96 	 10.323
  97 	 10.448
  98 	 10.529
  99 	 10.755
