   1 	 0.385
   2 	 0.444
   3 	 0.446
   4 	 0.517
   5 	 0.549
   6 	 0.590
   7 	 0.645
   8 	 0.672
   9 	 0.733
  10 	 0.775
  11 	 0.811
  12 	 0.869
  13 	 0.896
  14 	 0.972
  15 	 1.028
  16 	 1.052
  17 	 1.148
  18 	 1.201
  19 	 1.258
  20 	 1.348
  21 	 1.414
  22 	 1.465
  23 	 1.554
  24 	 1.630
  25 	 1.693
  26 	 1.739
  27 	 1.840
  28 	 1.954
  29 	 1.984
  30 	 2.098
  31 	 2.169
  32 	 2.238
  33 	 2.353
  34 	 2.429
  35 	 2.543
  36 	 2.640
  37 	 2.732
  38 	 2.840
  39 	 2.923
  40 	 3.031
  41 	 3.127
  42 	 3.219
  43 	 3.301
  44 	 3.436
  45 	 3.495
  46 	 3.646
  47 	 3.784
  48 	 3.902
  49 	 4.009
  50 	 4.146
  51 	 4.263
  52 	 4.357
  53 	 4.469
  54 	 4.572
  55 	 4.709
  56 	 4.870
  57 	 4.978
  58 	 5.090
  59 	 5.256
  60 	 5.379
  61 	 5.493
  62 	 5.616
  63 	 5.746
  64 	 5.896
  65 	 6.009
  66 	 6.142
  67 	 6.350
  68 	 6.444
  69 	 6.589
  70 	 6.777
  71 	 6.930
  72 	 7.077
  73 	 7.206
  74 	 7.435
  75 	 7.592
  76 	 7.740
  77 	 7.968
  78 	 8.116
  79 	 8.268
  80 	 8.517
  81 	 8.619
  82 	 8.753
  83 	 9.005
  84 	 9.113
  85 	 9.276
  86 	 9.507
  87 	 9.666
  88 	 9.752
  89 	 9.951
  90 	 10.184
  91 	 10.371
  92 	 10.620
  93 	 10.727
  94 	 10.904
  95 	 11.199
  96 	 11.394
  97 	 11.539
  98 	 11.667
  99 	 11.886
